year_month,export_volume_kg
2016-01,1349928802
2016-02,1376761962
2016-03,1526724172
2016-04,1303408805
2016-05,1078822915
2016-06,1321329720
2016-07,1447435455
2016-08,1422695806
2016-09,1309526730
2016-10,1172122632
2016-11,1791580805
2016-12,1535047039
2017-01,1436328519
2017-02,1359648314
2017-03,1664816695
2017-04,1406511043
2017-05,1248184905
2017-06,1306365968
2017-07,1356877540
2017-08,1313643895
2017-09,1073025451
2017-10,1664088308
2017-11,1432863114
2017-12,1456410608
2018-01,1259394065
2018-02,1192605101
2018-03,1894751672
2018-04,1419068389
2018-05,1511757000
2018-06,1103501604
2018-07,1762676559
2018-08,1462949381
2018-09,1158458054
2018-10,1588894983
2018-11,1143095923
2018-12,1641360581
2019-01,1311063756
2019-02,1088192778
2019-03,1233332174
2019-04,1009408841
2019-05,1234837907
2019-06,1448213670
2019-07,963956486
2019-08,1104508838
2019-09,802730050
2019-10,1080342388
2019-11,1154833579
2019-12,1314409907
2020-01,1077692900
2020-02,838352235
2020-03,1247947231
2020-04,807983500
2020-05,831027730
2020-06,984596521
2020-07,1635666100
2020-08,1725574210
2020-09,1291953600
2020-10,792505400
2020-11,1265467900
2020-12,1186550154
2021-01,1116197400
2021-02,763896844
2021-03,968844307
2021-04,958820000
2021-05,939274710
2021-06,948483900
2021-07,860212800
2021-08,922585400
2021-09,847813300
2021-10,744908900
2021-11,609966200
2021-12,622318900
2022-01,681917135
2022-02,608302551
2022-03,1242982273
2022-04,862788764
2022-05,844905400
2022-06,875450149
2022-07,814593678
2022-08,839352080
2022-09,881864303
2022-10,832858760
2022-11,745257369
2022-12,622041220
2023-01,708975100
2023-02,879919689
2023-03,1114449663
2023-04,576468000
2023-05,960849710
2023-06,675945270
2023-07,792494167
2023-08,966662454
2023-09,931193658
2023-10,840243897
2023-11,957556211
2023-12,963126964
2024-01,806665883
2024-02,1326296200
2024-03,909070542
2024-04,845716631
2024-05,772496592
2024-06,658044900
2024-07,712987311
2024-08,567946680
2024-09,592496000
2024-10,578247959
2024-11,666395850
2024-12,1058839609
2025-01,890478594
2025-02,561239620
2025-03,830601212
2025-04,966125648
2025-05,973072008
2025-06,443661337
